name	effect	tree	level
Ability focus	Choose one ability for which you have proficiency on saves. Gain 1 reroll for any save rolls or ability checks*short rest	Ability (choosen)	1
Conceal tracks	If you move half speed, creatures have disadvantage when tracking you. With a succesful survival check of DC of 15+number of creatures in group you can give this effect to the whole group. Large creatures count as 2, small 0.	Survival	3	Greater skill focus (Survival)
Outdoorsman	You gain rangers "Natural explorer" ability. You can choose only one favored terrain, you don't get additional favored terrains from leveling.	Survival	3	Greater skill focus (Survival)
Tracker	You can use passive survival to track a single creature or a group. 10+survival. Effect stops if you are attacked or distracted. *long rest	Survival	3	Greater skill focus (Survival)
Survival magic	You learn the alarm spell. You can cast it once without expending a spell slot, and you regain the ability to do so when you finish a long rest.	Survival - Arcana	3	Greater skill focus (Survival)	Skill focus (Arcana)
Secret Language	You have advantage to deception when passing secret information to an ally with this perk.	Teamwork	1	Must be taken in the same time with an ally or if an ally already has this perk
One mind	If ally in 5ft with this perk has blinded condition and you don't, that ally can ignore that condition while you are in 5ft. If you can see an invisible creature, so can an ally with this perk while in 5ft from you. 	Teamwork	2	Secret Language
Distracting help	If an ally has One mind perk, as your help action, you can aid that ally in attacking a creature within 15 feet of you. 	Teamwork	3	One mind
Got your back	If you use your help action to target an ally with One mind perk that is in 5ft from you, that ally gains +2 AC until your next turn.	Teamwork	3	One mind
Combat advice	As a move action, designate an ally that has One mind perk and an enemy; your ally gains your proficiency bonus on her next attack roll against that enemy. You must clearly see them both.	Teamwork	3	One mind
Timely Coordination	If a same trigger triggers your and your allies ready action, you both gain advantage on attack rolls or skill checks for that action. Ally must have this feat.	Teamwork	3	One mind
Coordinated Shot	For the purposes of this perk, instead of using it, you can Ready a single ranged attack. When an ally with One mind perk attacks a foe that you can see with a ranged attack, you can trigger your readied shot and use it to attack the same foe. You both gain +1d4 on your attack and damage.	Teamwork	3	One mind
Seize the Moment	When an ally who has One mind perk scores a critical hit against an opponent that you also threaten, as a reaction, you can make an attack of opportunity against that opponent.	Teamwork	3	One mind
Back to Back	If you are in 5ft from an ally who has this perk, you can't be flanked.	Teamwork	3	One mind
Broken Wing Gambit	If you successfuly hit a foe, you can grant that foe advantage on attack rolls against you. If target foe attacks you, after the attack is resolved any ally with this perk can use attack of opportunity reaction against that foe. 	Teamwork	3	One mind
Loyal To The Death	When an attack hits an ally adjacent to you who has this perk, you can instead take the hit. The attacker must roll another attack roll for that attack, but against your AC. If it hits, treat it as critical, if it misses, treat it as a normal hit. After damage is resolved, switch places. Switching places does not trigger attacks of oportunity. 	Teamwork	4	Got your back
Tandem flanking	If you and an ally with this perk are adjacent to an opponent, you are both considered to be flanking that opponent, regardless of your actual positioning. 	Teamwork	4	Seize the Moment
Wounded Paw Gambit	Whenever you use Broken wing gambit, any allies with this perk and is in 30ft from you can use a ranged attack as an attack of opportunity against the target foe.	Teamwork	4	Broken Wing Gambit
Feint Partner	Whenever an ally who also has this perk successfully uses Feint against an opponent, you also gain benefits that your allies feint bestows.	Teamwork - Deception	3	Feint
Controlled addiction	Pick one drug. When consumming it, you have advantages on wisdom saving throws against getting addicted. If you get addicted on it, you must not consume that drug for one week to get unaddicted. The picked drug is your favored drug. You have advantages on deception rolls to hide the effects of this drug. 	Wisdom	2	Ability focus (Wisdom)	Constitution 13+
Cunning initiative	You can count your wis mod instead of dex mod for calculating initiative.	Wisdom	2	Ability focus (Wisdom)
Monster lore	When making skill checks to identify the abilities and weaknesses of creatures using Nature, Arcana or Religion, add your Wisdom modifier in addition to your Int mod. 	Wisdom	2	Ability focus (Wisdom)	Intelligence 13+
Meditative Concentration	When you meditate for at least 1 hour after getting a long rest, you gain one meditation roll. Meditation roll can be spent on any skill check or ability save of your choice. Before rolling, you can expend your meditation roll, and gain advantage on that roll. You cannot use this ability until you take a long rest and additional 1h of meditation. Unspent meditatio rolls fade after 24 hours.	Wisdom	2	Ability focus (Wisdom)
Addicts euphoria	While under effect of a favored drug, gain advantage against emotion effects and effects that inflict frightened condition.	Wisdom	3	Controlled addiction	Constitution 15+
Clarity of Pain	You can reroll failed wisdom save by dealing yourself 1d6 b/p/s damage. You must take damage for this to have effect. Uses equal to Con modifier (min 1) *long rest	Wisdom	3	Greater ability focus (Wisdom)
Grant Initiative	At the start of each encounter, you can either choose to keep the bonus granted to you by your Wisdom modifier on initiative checks or choose to give that bonus to one of your allies that you can see. You can do this before initiative rolls.	Wisdom	3	Cunning initiative
Improved Monster Lore	When using monster lore, add a bonus equal to 1/2 of your characters level, rounded up, to your roll. 	Wisdom	3	Monster lore	Intelligence 15+
Lucid Dreamer	Gain advantages for any kind of charisma or wisdom checks when in dreams, or attempting impossible feats in a dreamscape. If your lucid body dies while in a dreamscape, you wake up with 1 level of exhaustion. 	Wisdom	3	Greater ability focus (Wisdom)
Stoic	You have advantages on saving throws against being Frightened.	Wisdom	3	Greater ability focus (Wisdom)
Truth in Wine	If you consume a drink of high quality alcohol (costing at least 10gp per drink), you gain advantages on all wisdom based skill checks for 1d4 minutes. *short rest.	Wisdom	3	Greater ability focus (Wisdom)
Word of Healing	Your lay of hands ability gains 30ft range, but if you are not touching the creature that you are healing, that creature heals only half, rounded down.	Wisdom	3	Greater ability focus (Wisdom)	Paladin
Combat Meditation 	You can spend your meditation roll on attacks. If you spend a meditation roll to gain advantage on a concentration check, you instead pass it automaticaly.	Wisdom	3	Meditation Master
Addicts healing 	When you take a dose of favored drugs, gain temporary hit points equal to your total hit dice for an hour. *short rest	Wisdom	4	Addicts euphoria	Constitution 15+
Addicts knowledge	You have advantage when checking the quality of a favoured drug, you have advantage when trying to find a drug seller in a city or town. Gain 20% off of price.	Wisdom	4	Addicts euphoria	Constitution 15+
Addicts Rejuvenation	While affected by favoured drug, you have advantages on death saving throws.	Wisdom	4	Addicts euphoria	Constitution 15+
Command initiative	When you use grant initiative to add your wisdom mod on allies initiative, that ally can choose one of two effects: roll it's initiative again, but must keep the second result. Other effect is: Before the start of first round of combat, but after surprise rounds, that ally can use Hide, Dodge or ready action for free. If he acted in surprise round, he can not take the second effect.	Wisdom	4	Grant Initiative
Fearless	Immune to any fear effects. You can not be Frightened. 	Wisdom	4	Stoic
Perfect exploit 	If you pass a DC 25 when rolling for monster lore, your next attack against that creature has bonus on attack and damage equal to your wis + int modifiers. Instead of using this bonus yourself, you can spend a bonus action to give an advantage to the next attack roll against this creature to an ally in 20ft from you.  	Wisdom	4	Improved Monster Lore
Meditation Master	Instead of gaining one meditation roll when you meditate for 1 hour after a long rest, you gain number of meditation rolls equal to your wisdom modifier.	Wisdom	4	Combat Meditation
